Ano,Física[18],Química[19],Fisiologiaou Medicina[20],Literatura[21],Paz[22],Economia (Prêmio Sveriges Riksbank)[23]
1971,Dennis Gabor,Gerhard Herzberg,"Earl Wilbur Sutherland, Jr.",Pablo Neruda,Willy Brandt,Simon Kuznets
1972,John Bardeen;Leon Cooper;John Robert Schrieffer,Christian B. Anfinsen;Stanford Moore;William Howard Stein,Gerald Edelman;Rodney Robert Porter,Heinrich Böll,Não foi atribuído,John Hicks;Kenneth Arrow
1973,Leo Esaki;Ivar Giaever;Brian David Josephson,Ernst Otto Fischer;Geoffrey Wilkinson,Karl von Frisch;Konrad Lorenz;Nikolaas Tinbergen,Patrick White,Henry Kissinger;Le Duc Tho[E],Wassily Leontief
1974,Martin Ryle;Antony Hewish,Paul John Flory,Albert Claude;Christian de Duve;George Emil Palade,Eyvind Johnson;Harry Martinson,Seán MacBride;Eisaku Satō,Gunnar Myrdal;Friedrich Hayek
1975,Aage Bohr;Ben Roy Mottelson;James Rainwater,John Cornforth;Vladimir Prelog,David Baltimore;Renato Dulbecco;Howard Martin Temin,Eugenio Montale,Andrei Sakharov,Leonid Kantorovich;Tjalling Koopmans
1976,Burton Richter;Samuel C. C. Ting,William Lipscomb,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Saul Bellow,Betty Williams;Mairead Corrigan,Milton Friedman
1977,Philip Warren Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Ilya Prigogine,Roger Guillemin;Andrzej Schally;Rosalyn Sussman Yalow,Vicente Aleixandre,Amnesty International,Bertil Ohlin;James Meade
1978,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Peter D. Mitchell,Werner Arber;Daniel Nathans;Hamilton O. Smith,Isaac Bashevis Singer,Anwar Sadat;Menachem Begin,Herbert A. Simon
1979,Sheldon Lee Glashow;Abdus Salam;Steven Weinberg,Herbert C. Brown;Georg Wittig,Allan McLeod Cormack;Godfrey Hounsfield,Odysseas Elytis,Madre Teresa de Calcutá,Theodore Schultz;William Arthur Lewis
1980,James Cronin;Val Logsdon Fitch,Paul Berg;Walter Gilbert;Frederick Sanger,Baruj Benacerraf;Jean Dausset;George Davis Snell,Czesław Miłosz,Adolfo Pérez Esquivel,Lawrence Klein
1981,Nicolaas Bloembergen;Arthur Schawlow;Kai Siegbahn,Kenichi Fukui;Roald Hoffmann,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Elias Canetti,Alto Comissariado das Nações Unidas para os Refugiados,James Tobin
1982,Kenneth G. Wilson,Aaron Klug,Sune Bergström;Bengt I. Samuelsson;John Vane,Gabriel García Márquez,Alva Myrdal;Alfonso García Robles,George Stigler
1983,Subrahmanyan Chandrasekhar;William Alfred Fowler,Henry Taube,Barbara McClintock,William Golding,Lech Wałęsa,Gérard Debreu
1984,Carlo Rubbia;Simon van der Meer,Robert Bruce Merrifield,Niels Kaj Jerne;Georges Köhler;César Milstein,Jaroslav Seifert,Desmond Tutu,Richard Stone
1985,Klaus von Klitzing,Herbert A. Hauptman;Jerome Karle,Michael Stuart Brown;Joseph L. Goldstein,Claude Simon,Médicos Internacionais para a Prevenção da Guerra Nuclear,Franco Modigliani
1986,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Dudley R. Herschbach;Yuan T. Lee;John Charles Polanyi,Stanley Cohen;Rita Levi-Montalcini,Wole Soyinka,Elie Wiesel,James M. Buchanan
1987,Johannes Georg Bednorz;Karl Alexander Müller,Donald J. Cram;Jean-Marie Lehn;Charles J. Pedersen,Susumu Tonegawa,Joseph Brodsky,Óscar Arias,Robert Solow
1988,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Johann Deisenhofer;Robert Huber;Hartmut Michel,James W. Black;Gertrude B. Elion;George H. Hitchings,Naguib Mahfouz,Forças de paz da ONU,Maurice Allais
1989,Norman Foster Ramsey;Hans Georg Dehmelt;Wolfgang Paul,Sidney Altman;Thomas Cech,J. Michael Bishop;Harold E. Varmus,Camilo José Cela,Tenzin Gyatso,Trygve Haavelmo
1990,Jerome Isaac Friedman;Henry Way Kendall;Richard E. Taylor,Elias James Corey,Joseph Murray;E. Donnall Thomas,Octavio Paz,Mikhail Gorbachev,Harry Markowitz;Merton Miller;William Forsyth Sharpe
